"Kód okresu";"Názov okresu";"Pohlavie";"Ekonomické vekové skupiny";"Súčasná ekonomická aktivita";"abs."
SK031A;Okres Tvrdošín;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;365
SK031A;Okres Tvrdošín;žena;produktívny vek (15-64 rokov);nezamestnaný;574
SK031A;Okres Tvrdošín;žena;produktívny vek (15-64 rokov);žiak strednej školy;807
SK031A;Okres Tvrdošín;žena;produktívny vek (15-64 rokov);študent vysokej školy;578
SK031A;Okres Tvrdošín;žena;produktívny vek (15-64 rokov);osoba v domácnosti;1286
SK031A;Okres Tvrdošín;žena;produktívny vek (15-64 rokov);dôchodca;830
SK031A;Okres Tvrdošín;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;9
SK031A;Okres Tvrdošín;žena;produktívny vek (15-64 rokov);iná;4
SK031A;Okres Tvrdošín;žena;produktívny vek (15-64 rokov);žiak základnej školy;72
SK031A;Okres Tvrdošín;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;384
SK031A;Okres Tvrdošín;žena;poproduktívny vek (65 a viac rokov);dôchodca;2751
SK031B;Okres Žilina;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;7344
SK031B;Okres Žilina;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;6019
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);dôverné;78
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);nezistené;1286
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);37984
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;3297
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;135
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;126
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);nezamestnaný;2251
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);žiak strednej školy;2791
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);študent vysokej školy;1389
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);osoba v domácnosti;1777
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);dôchodca;3324
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;118
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);iná;145
SK031B;Okres Žilina;muž;produktívny vek (15-64 rokov);žiak základnej školy;380
SK031B;Okres Žilina;muž;poproduktívny vek (65 a viac rokov);dôverné;7
SK031B;Okres Žilina;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;2196
SK031B;Okres Žilina;muž;poproduktívny vek (65 a viac rokov);dôchodca;8662
SK031B;Okres Žilina;muž;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;3
SK031B;Okres Žilina;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;3
SK031B;Okres Žilina;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;6869
SK031B;Okres Žilina;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;5544
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);dôverné;63
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);nezistené;859
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);30090
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;3622
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;660
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;1546
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);nezamestnaný;2587
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);žiak strednej školy;2806
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);študent vysokej školy;1846
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);osoba v domácnosti;5015
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);dôchodca;4137
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;96
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);iná;16
SK031B;Okres Žilina;žena;produktívny vek (15-64 rokov);žiak základnej školy;258
SK031B;Okres Žilina;žena;poproduktívny vek (65 a viac rokov);dôverné;6
SK031B;Okres Žilina;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;1862
SK031B;Okres Žilina;žena;poproduktívny vek (65 a viac rokov);dôchodca;14179
SK031B;Okres Žilina;žena;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;1
SK0321;Okres Banská Bystrica;muž;predproduktívny vek (0-14 rokov);nezistené;2
SK0321;Okres Banská Bystrica;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0321;Okres Banská Bystrica;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;4283
SK0321;Okres Banská Bystrica;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;3567
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);dôverné;78
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);nezistené;948
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);25028
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;1677
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;67
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;51
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);nezamestnaný;1735
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);žiak strednej školy;1623
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);študent vysokej školy;857
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);osoba v domácnosti;1365
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);dôchodca;1685
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;115
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);iná;108
SK0321;Okres Banská Bystrica;muž;produktívny vek (15-64 rokov);žiak základnej školy;219
SK0321;Okres Banská Bystrica;muž;poproduktívny vek (65 a viac rokov);dôverné;13
SK0321;Okres Banská Bystrica;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;2035
SK0321;Okres Banská Bystrica;muž;poproduktívny vek (65 a viac rokov);dôchodca;6456
SK0321;Okres Banská Bystrica;muž;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;4
SK0321;Okres Banská Bystrica;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0321;Okres Banská Bystrica;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;4101
SK0321;Okres Banská Bystrica;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;3385
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);dôverné;57
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);nezistené;678
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);22977
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;1880
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;410
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;1048
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);nezamestnaný;1745
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);žiak strednej školy;1643
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);študent vysokej školy;1084
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);osoba v domácnosti;2877
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);dôchodca;2087
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;90
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);iná;7
SK0321;Okres Banská Bystrica;žena;produktívny vek (15-64 rokov);žiak základnej školy;138
SK0321;Okres Banská Bystrica;žena;poproduktívny vek (65 a viac rokov);dôverné;7
SK0321;Okres Banská Bystrica;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;2007
SK0321;Okres Banská Bystrica;žena;poproduktívny vek (65 a viac rokov);dôchodca;10590
SK0321;Okres Banská Bystrica;žena;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;1
SK0322;Okres Banská Štiavnica;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;635
SK0322;Okres Banská Štiavnica;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;487
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);dôverné;29
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);nezistené;154
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);3210
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;402
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;6
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;11
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);nezamestnaný;397
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);žiak strednej školy;283
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);študent vysokej školy;116
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);osoba v domácnosti;252
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);dôchodca;416
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;11
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);iná;21
SK0322;Okres Banská Štiavnica;muž;produktívny vek (15-64 rokov);žiak základnej školy;44
SK0322;Okres Banská Štiavnica;muž;poproduktívny vek (65 a viac rokov);dôverné;1
SK0322;Okres Banská Štiavnica;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;160
SK0322;Okres Banská Štiavnica;muž;poproduktívny vek (65 a viac rokov);dôchodca;953
SK0322;Okres Banská Štiavnica;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;660
SK0322;Okres Banská Štiavnica;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;492
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);dôverné;20
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);nezistené;106
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);2706
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;376
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;51
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;148
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);nezamestnaný;428
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);žiak strednej školy;264
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);študent vysokej školy;161
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);osoba v domácnosti;451
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);dôchodca;454
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;5
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);iná;1
SK0322;Okres Banská Štiavnica;žena;produktívny vek (15-64 rokov);žiak základnej školy;33
SK0322;Okres Banská Štiavnica;žena;poproduktívny vek (65 a viac rokov);dôverné;2
SK0322;Okres Banská Štiavnica;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;131
SK0322;Okres Banská Štiavnica;žena;poproduktívny vek (65 a viac rokov);dôchodca;1572
SK0323;Okres Brezno;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0323;Okres Brezno;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;2431
SK0323;Okres Brezno;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1934
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);dôverné;47
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);nezistené;734
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);12851
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;830
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;23
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;33
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);nezamestnaný;1438
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);žiak strednej školy;877
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);študent vysokej školy;406
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);osoba v domácnosti;1225
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);dôchodca;1525
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;19
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);iná;82
SK0323;Okres Brezno;muž;produktívny vek (15-64 rokov);žiak základnej školy;209
SK0323;Okres Brezno;muž;poproduktívny vek (65 a viac rokov);dôverné;4
SK0323;Okres Brezno;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;676
SK0323;Okres Brezno;muž;poproduktívny vek (65 a viac rokov);dôchodca;3609
SK0323;Okres Brezno;žena;predproduktívny vek (0-14 rokov);nezistené;1
SK0323;Okres Brezno;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0323;Okres Brezno;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;2411
SK0323;Okres Brezno;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1830
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);dôverné;32
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);nezistené;585
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);10296
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;831
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;124
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;439
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);nezamestnaný;1807
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);žiak strednej školy;925
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);študent vysokej školy;640
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);osoba v domácnosti;2136
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);dôchodca;1530
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;22
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);iná;8
SK0323;Okres Brezno;žena;produktívny vek (15-64 rokov);žiak základnej školy;169
SK0323;Okres Brezno;žena;poproduktívny vek (65 a viac rokov);dôverné;3
SK0323;Okres Brezno;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;672
SK0323;Okres Brezno;žena;poproduktívny vek (65 a viac rokov);osoba na rodičovskej dovolenke;1
SK0323;Okres Brezno;žena;poproduktívny vek (65 a viac rokov);dôchodca;6029
SK0324;Okres Detva;muž;predproduktívny vek (0-14 rokov);nezistené;1
SK0324;Okres Detva;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0324;Okres Detva;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;1199
SK0324;Okres Detva;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;979
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);dôverné;27
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);nezistené;289
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);7046
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;531
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;19
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;15
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);nezamestnaný;658
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);žiak strednej školy;524
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);študent vysokej školy;224
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);osoba v domácnosti;379
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);dôchodca;793
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;14
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);iná;52
SK0324;Okres Detva;muž;produktívny vek (15-64 rokov);žiak základnej školy;96
SK0324;Okres Detva;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;293
SK0324;Okres Detva;muž;poproduktívny vek (65 a viac rokov);dôchodca;2046
SK0324;Okres Detva;žena;predproduktívny vek (0-14 rokov);nezistené;1
SK0324;Okres Detva;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;1186
SK0324;Okres Detva;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;906
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);dôverné;18
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);nezistené;193
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);5623
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;531
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;70
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;215
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);nezamestnaný;739
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);žiak strednej školy;520
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);študent vysokej školy;334
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);osoba v domácnosti;925
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);dôchodca;912
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;10
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);iná;2
SK0324;Okres Detva;žena;produktívny vek (15-64 rokov);žiak základnej školy;82
SK0324;Okres Detva;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;239
SK0324;Okres Detva;žena;poproduktívny vek (65 a viac rokov);dôchodca;3342
SK0325;Okres Krupina;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;903
SK0325;Okres Krupina;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;792
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);dôverné;44
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);nezistené;175
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);4830
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;339
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;10
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;8
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);nezamestnaný;506
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);žiak strednej školy;364
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);študent vysokej školy;163
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);osoba v domácnosti;417
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);dôchodca;581
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;2
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);iná;48
SK0325;Okres Krupina;muž;produktívny vek (15-64 rokov);žiak základnej školy;71
SK0325;Okres Krupina;muž;poproduktívny vek (65 a viac rokov);dôverné;4
SK0325;Okres Krupina;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;191
SK0325;Okres Krupina;muž;poproduktívny vek (65 a viac rokov);dôchodca;1187
SK0325;Okres Krupina;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;887
SK0325;Okres Krupina;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;731
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);dôverné;44
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);nezistené;102
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);3663
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;344
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;57
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;167
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);nezamestnaný;503
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);žiak strednej školy;402
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);študent vysokej školy;216
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);osoba v domácnosti;884
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);dôchodca;626
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;3
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);iná;3
SK0325;Okres Krupina;žena;produktívny vek (15-64 rokov);žiak základnej školy;65
SK0325;Okres Krupina;žena;poproduktívny vek (65 a viac rokov);dôverné;3
SK0325;Okres Krupina;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;182
SK0325;Okres Krupina;žena;poproduktívny vek (65 a viac rokov);dôchodca;2000
SK0326;Okres Lučenec;muž;predproduktívny vek (0-14 rokov);dôverné;1
SK0326;Okres Lučenec;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0326;Okres Lučenec;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;3142
SK0326;Okres Lučenec;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;2430
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);dôverné;93
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);nezistené;1181
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);13161
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;866
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;15
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;27
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);nezamestnaný;2201
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);žiak strednej školy;1002
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);študent vysokej školy;411
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);osoba v domácnosti;2406
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);dôchodca;1977
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;41
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);iná;209
SK0326;Okres Lučenec;muž;produktívny vek (15-64 rokov);žiak základnej školy;302
SK0326;Okres Lučenec;muž;poproduktívny vek (65 a viac rokov);dôverné;3
SK0326;Okres Lučenec;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;688
SK0326;Okres Lučenec;muž;poproduktívny vek (65 a viac rokov);dôchodca;3967
SK0326;Okres Lučenec;muž;poproduktívny vek (65 a viac rokov);iná;2
SK0326;Okres Lučenec;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0326;Okres Lučenec;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;3099
SK0326;Okres Lučenec;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;2199
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);dôverné;81
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);nezistené;931
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);11285
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;894
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;120
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;388
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);nezamestnaný;2526
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);žiak strednej školy;984
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);študent vysokej školy;562
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);osoba v domácnosti;3653
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);dôchodca;1935
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;20
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);iná;22
SK0326;Okres Lučenec;žena;produktívny vek (15-64 rokov);žiak základnej školy;222
SK0326;Okres Lučenec;žena;poproduktívny vek (65 a viac rokov);dôverné;4
SK0326;Okres Lučenec;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;680
SK0326;Okres Lučenec;žena;poproduktívny vek (65 a viac rokov);dôchodca;6689
SK0326;Okres Lučenec;žena;poproduktívny vek (65 a viac rokov);iná;1
SK0327;Okres Poltár;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;797
SK0327;Okres Poltár;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;598
SK0327;Okres Poltár;muž;produktívny vek (15-64 rokov);dôverné;28
SK0327;Okres Poltár;muž;produktívny vek (15-64 rokov);nezistené;218
SK0327;Okres Poltár;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);4095
SK0327;Okres Poltár;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;296
SK0327;Okres Poltár;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;1
SK0327;Okres Poltár;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;5
SK0327;Okres Poltár;muž;produktívny vek (15-64 rokov);nezamestnaný;868
SK0327;Okres Poltár;muž;produktívny vek (15-64 rokov);žiak strednej školy;368
SK0327;Okres Poltár;muž;produktívny vek (15-64 rokov);študent vysokej školy;99
SK0327;Okres Poltár;muž;produktívny vek (15-64 rokov);osoba v domácnosti;496
SK0327;Okres Poltár;muž;produktívny vek (15-64 rokov);dôchodca;606
